id,name,score,time,penalty,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
1,Straightforward,427,23:46:02,0,,open,men,LAT,Janis,Krumins,LAT,Andris,Ansabergs,,,
2,Laid mums tur laimē diet,392,23:43:36,0,,open,men,LAT,Zigmunds,Bībers,LAT,Andris,Ronimoiss,,,
3,LOKO,389,23:49:01,0,,open,men,LAT,Jānis,Ansabergs,LAT,Kristaps,Jaudzems,,,
4,MÜRSK,385,23:48:11,0,,open,men,EST,Siim,Klais,EST,Märt,Roosaare,,,
5,Georgia and Greig,382,23:41:39,0,,open,mixed,NZL,Georgia,Whitla,NZL,Greig,Hamilton,,,
6,Õnnevalem,374,23:48:44,0,,open,men,EST,Sander,Mirme,EST,Ain,Fjodorov,,,
7,Inov-8,369,23:46:25,0,,open,men,CZE,Ondrej,Skripnik,CZE,Radovan,Čech,,,
8,Swamp children,362,23:47:57,0,,open,mixed,RUS,Anna,Korobko,RUS,Sergey,Miroshkin,RUS,Dmitriy,Shemyatikhin
9,OMEGA,358,23:52:02,0,,veteran,men,RUS,Sergey,Yashchenko,RUS,Oleg,Kalinin,,,
10,Damned by Wives - NN rogaining,353,23:28:03,0,,open,men,RUS,Semyon,Yakimov,RUS,Andrey,Efimov,RUS,Konstantin,Solovyev
11,O-Club,353,23:33:06,0,,open,men,UKR,Yevgeniy,Tsyren,UKR,Artem,Gorodynets,,,
12,SPLAV,350,23:50:07,0,,veteran,women,RUS,Nina,Mikheeva,RUS,Marina,Galkina,,,
13,INOV-8 Ukraine,348,23:53:34,0,,open,men,UKR,Yuriy,Komenotrus,UKR,Oleksandr,Dmytryuk,,,
14,Meža Dīvainīši,347,23:42:35,0,,veteran,men,LAT,Einārs,Masteiko,LAT,Jānis,Viškers,,,
15,orienteering.waw.pl,344,23:29:23,0,,veteran,men,POL,Marcin,Krasuski,POL,Piotr,Szaciłowski,,,
16,Yellow phantom,342,23:47:03,0,,open,men,RUS,Alexander,Tonis,RUS,Igor,Manzhay,,,
17,Surikati,339,23:51:41,0,,open,mixed,LAT,Pēteris,Grīviņš,LAT,Ieva,Upmace,,,
18,For fun,335,23:49:26,0,,veteran,mixed,LAT,Anita,Liepina,LAT,Valters,Kaminskis,,,
19,OK Lokomotiva Plzen,333,23:20:30,0,,open,men,CZE,Frantisek,Kolovsky,CZE,Jiri,Vales,,,
20,Krilatiy batalion,332,23:37:31,0,,open,men,RUS,Sergey,Baranovskiy,RUS,Boris,Sokolov,RUS,Vasleriy,Baranovskiy
21,Legenda35,327,23:48:36,0,,veteran,mixed,RUS,Vladimir,Mihailov,RUS,Valentina,Mihailova,,,
22,Apakšgrāvja inspekcija,326,23:20:02,0,,open,men,LAT,Mārtiņš,Krūze,LAT,Guntis,Šmaukstelis,,,
23,Czech veteran 1,325,23:33:04,0,,veteran,men,CZE,Miroslav,Seidl,CZE,Jan,Kotyk,,,
24,NikoMahno,325,23:53:44,0,,veteran,men,UKR,Sergey,Sirinok,UKR,Volodymyr,Shpetnyy,,,
25,Prieka prizma,324,23:41:46,0,,open,men,LAT,Sandis,Pētersons,LAT,Didzis,Rozenbergs,,,
26,Katusha,324,23:42:56,0,,open,mixed,RUS,Alexander,Kiselev,RUS,Ekaterina,Alekseeva,RUS,Ilya,Tsygankov
27,Ozons,322,23:34:52,0,,open,women,LAT,Māra,Leitāne,LAT,Aiva,Jakovela,,,
28,Kosmate / Morenka Team,322,23:51:10,0,,open,men,POL,Marcin,Hippner,POL,Marcin,Sontowski,,,
29,Bad Planning,322,24:02:47,3,,open,mixed,EST,Olga,Andrejeva,EST,Neeme,Loorits,,,
30,Lost,321,23:59:03,0,,veteran,mixed,LAT,Ildze,Straume,EST,Armo,Hiie,,,
31,Seiklushunt Adventure Team,320,22:11:30,0,,open,mixed,EST,Arvi,Anton,EST,Reeda,Tuula,EST,Sander,Linnus
32,Libahunt,317,23:38:24,0,,veteran,men,EST,Mairolt,Kakko,EST,Veikko,Tamlak,,,
33,Get Lost!! Running Racing,317,23:39:17,0,,veteran,men,USA,Vladimir,Gusiatnikov,USA,Dennis,Wilkinson,,,
34,Arena dream team,316,23:47:55,0,,open,women,RUS,Anna,Burlinova,RUS,Maria,Plyashechko,,,
35,Lilleke sohu,315,23:51:55,0,,open,women,EST,Eleri,Hirv,EST,Piibe,Tammemäe,,,
36,Squirrels,310,23:33:43,0,,open,women,RUS,Natalia,Abramova,RUS,Irina,Safronova,,,
37,Liedagi-35,310,23:48:35,0,,open,mixed,LAT,Fadejs,Precinieks,LAT,Zelma,Preciniece,,,
38,Ukraine Mr. and Mrs. Smith,309,23:28:19,0,,open,mixed,UKR,Volodymyr,Bezditnyi,UKR,Olena,Myronenko,,,
39,Wild Run Rus,309,23:33:17,0,,open,mixed,RUS,Anton,Tampel,RUS,Irina,Borevich,,,
40,Humsters,305,23:16:03,0,,open,mixed,UKR,Mykola,Vikhtiuk,UKR,Olha,Cheberakha,,,
41,Dobyti severniho polu,305,23:45:54,0,,open,mixed,CZE,Aleš,Balcar,CZE,Jana,Balcarova,,,
42,Zalas Turbo Kedas,305,23:50:23,0,,veteran,men,LAT,Gints,Pētersons,LAT,Raitis,Muižnieks,,,
43,inov-8 / paproć Team POLSKA,303,23:20:55,0,,open,men,POL,Michal,Jedroszkowiak,POL,Paweł,Jankowiak,,,
44,Team-TriO,301,23:31:31,0,,youth,mixed,UKR,Serhiy,Nahorniyuk,UKR,Anastasia,Basyuk,,,
45,42km.lv Senior,300,23:40:47,0,,veteran,men,LAT,Peteris,Drukis,LAT,Ints,Ulmanis,,,
46,Russian elks,300,23:46:12,0,,veteran,men,RUS,Leonid,Nikitin,RUS,Alexander,Khalyapin,,,
47,SKI-OB Sternberk,300,23:53:48,0,,veteran,men,CZE,Tomas,Vaclavek,CZE,Martin,Smolka,,,
48,Miia ja Sami,298,23:19:02,0,,veteran,mixed,FIN,Miia,Hovi,FIN,Sami,Levijoki,,,
49,Astra,295,23:06:28,0,,youth,women,UKR,Polina,Zakharova,UKR,Ekaterina,Dzema,,,
50,Rändajad,295,23:22:09,0,,veteran,women,EST,Merike,Mets,EST,Evelyn,Himma,,,
51,Baldwin Quinn,294,23:34:21,0,,veteran,mixed,AUS,David,Baldwin,AUS,Julie,Quinn,,,
52,X-rays-kernel-panic,294,23:58:34,0,,open,men,RUS,Roman,Kulikov,RUS,Sergey,Pikuz,RUS,Maxim,Tsvetkov
53,Mona V,293,23:56:55,0,,veteran,mixed,LAT,Baiba,Ozola,LAT,Jānis,Nāgelis,,,
54,Latvian Bulgarian friendship,290,23:46:01,0,,open,men,LAT,Peteris,Ledins,BUL,Nikolay,Nachev,,,
55,OC BSU,289,23:00:00,0,,open,men,BLR,Aliaksei,Memelau,BLR,Aliaksei,Shvants,,,
56,Izturība,289,23:52:50,0,,veteran,men,LAT,Artis,Dobulis,LAT,Edgars,Bremze,,,
57,Kuragan,287,23:59:52,0,,veteran,mixed,RUS,Alexander,Safonov,RUS,Irina,Safonova,,,
58,Happy Happy,286,23:51:51,0,,open,mixed,LTU,Inga,Zvinyte,LTU,Regimantas,Januskevicius,,,
59,Shortcut,285,20:56:51,0,,open,men,EST,Tarmo,Siimsaare,EST,Kristjan,Karabelnik,,,
60,MGJB,285,23:20:01,0,,open,men,LAT,Marcis,Gedins,LAT,Jevgenijs,Bondins,,,
61,Bukovina,285,23:38:59,0,,youth,men,UKR,Oleksandr,Kolchanov,UKR,Ivan,Andrusiak,,,
62,November,284,23:48:26,0,,open,women,UKR,Olena,Dotsenko,UKR,Natalia,Pustova,,,
63,Pirates,283,23:54:27,0,,open,mixed,RUS,Oleg,Petukhov,RUS,Daria,Petukhova,RUS,Andrey,Goryachkin
64,SC,282,23:24:47,0,,open,mixed,BLR,Volha,Rahautsova,BLR,Aliaksandr,Fedaryshkin,,,
65,312,282,23:44:46,0,,veteran,men,EST,Heno,Ivanov,EST,Raul,Kangur,,,
66,Rakvere Baseilo-Husqvarna team,280,23:33:26,0,,superveteran,men,EST,Aleksander,Pritsik,EST,Jaak,Rohtsalu,,,
67,Globitex,279,23:45:54,0,,superveteran,men,LAT,Viesturs,Tamuzs,LAT,Juris,Sinke,,,
68,Academy,279,23:52:05,0,,open,men,UKR,Anton,Puhovkin,UKR,Mykola,Hoienko,,,
69,Blomes trio,278,23:17:03,0,,open,men,LAT,Jurģis,Eberhards,LAT,Rūdolfs,Eberhards,LAT,Renārs,Eberhards
70,KĀPA LR,277,23:46:48,0,,superveteran,mixed,LAT,Rolands,Laveiķis,LAT,Ligita,Grunde,,,
71,Moon is the Sun,274,23:21:20,0,,veteran,women,EST,Lea,Leppik,EST,Airi,Alnek,,,
72,Ampēriņš,274,23:37:21,0,,open,mixed,LAT,Madara,Apsalone,LAT,Aleksandrs,Riguns,LAT,Jānis,Kalniņš
73,Tare,273,23:22:04,0,,superveteran,men,EST,Tiit,Tali,EST,Jaanus,Reha,,,
74,Devil Hill Wanderers,273,23:24:09,0,,veteran,women,FIN,Tarja,Törmikoski,FIN,Reetta,Heiskanen,,,
75,ASIE PIPARI,273,23:44:19,0,,superveteran,men,LAT,Ilmars,Kaulakans,LAT,Harijs,Lacars,LAT,Juris,Drunka
76,Meža Rūķi,273,23:49:25,0,,open,men,LAT,Marcis,Bogdanovs,LAT,Jānis,Bogdanovs,,,
77,Malači,271,23:39:06,0,,superveteran,mixed,LAT,Velga,Buša,LAT,Uldis,Pekuss,,,
78,Bukovina-Inov 8,271,23:54:23,0,,superveteran,mixed,UKR,Valentyna,Bevzo,UKR,Volodymyr,Lipka,,,
79,TAP in Latvia,271,23:57:14,0,,open,mixed,CZE,Vitezslav,Zajic,CZE,Katerina,Zamazalova,,,
80,Team 1Life & Cvalajici Olihen,269,23:26:04,0,,veteran,women,CZE,Helena,Polaskova-Menard,FIN,Ulla,Silventoinen,,,
81,Lupus Extreme,268,23:27:02,0,,veteran,men,FIN,Janne,Snellman,FIN,Mika,Talvisilta,,,
82,Smeshariki,268,23:27:33,0,,open,mixed,UKR,Olena,Babych,UKR,Kyryl,Odnokoz,,,
83,Run & chill,267,23:40:18,0,,open,women,LTU,Monika,Gotcaityte,LTU,Neringa,Zemaityte,,,
84,Tosin,266,23:31:03,0,,veteran,mixed,EST,Ilmar,Raap,EST,Riika,Ploompuu,,,
85,TutiVaps,266,23:36:48,0,,veteran,men,EST,Aivar,Liivrand,EST,Jaak,Väärsi,,,
86,StruGGle!,266,23:42:45,0,,open,men,RUS,Georgiy,Ilgach,RUS,Yuriy,Tabolin,,,
87,Kalush-Kharkiv,266,23:44:58,0,,youth,men,UKR,Andriy,Hudz,UKR,Dmytro,Kvarta,,,
88,Bukaušu ekspresis,264,23:30:06,0,,veteran,mixed,LAT,Jānis,Virbulis,LAT,Edgars,Ruža,LAT,Līga,Virbule
89,Vichy,263,23:35:35,0,,open,men,LAT,Valdis,Cunka,LAT,Kaspars,Adijans,,,
90,Divi veči,261,23:40:49,0,,ultraveteran,men,LAT,Jānis,Biezais,LAT,Uldis,Alksnis,,,
91,Kherson,260,23:44:10,0,,youth,mixed,UKR,Yuliya,Kobets,UKR,Artem,Sidorenko,,,
92,GuN 2017,259,23:03:00,0,,veteran,men,LAT,Nikolajs,Lucāns,LAT,Guntis,Pikurs,,,
93,HP-Sport team,259,23:49:56,0,,youth,women,EST,Helis,Pajuste,EST,Elina-Emiilie,Leht,,,
94,kOleso,259,23:51:40,0,,superveteran,men,RUS,Oleg,Zhegusov,RUS,Anatoliy,Shostatskiy,,,
95,OK Kurmis,258,22:04:00,0,,open,men,LAT,Emīls,Endele,LAT,Matīss,Vīksne,,,
96,KRASNOGORSK,258,23:42:20,0,,superveteran,men,RUS,Mikhail,Lukin,RUS,Igor,Chernyshov,,,
97,Lost Control,256,24:14:54,15,,veteran,mixed,AUS,Andrew,Smith,AUS,Toni,Bachvarova,,,
98,Jokers-Santa Monica Networks,255,23:44:34,0,,open,men,LTU,Audrius,Rudys,LTU,Algimantas,Janušauskas,,,
99,CerPa,255,23:50:00,0,,open,men,CZE,Jan,Čermak,CZE,Vaclav,Papeš,,,
100,Amazing Race,254,23:13:42,0,,veteran,mixed,FIN,Leena,Ojala,FIN,Jani,Isoluoma,,,
101,2NN Deers,254,23:44:06,0,,veteran,men,RUS,Sergey,Konstantinov,RUS,Grigoriy,Luchinin,,,
102,CT NOMA,253,22:48:24,0,,veteran,men,LAT,Kaspars,Jansons,LAT,Jānis,Dalderis,,,
103,Naturkompaniet-Pioneers,253,23:21:24,0,,veteran,men,SWE,Tommy,Ivarsson,SWE,Magnus,Holmen,,,
104,Fujitsu High Power Team,252,23:43:19,0,,veteran,mixed,EST,Anneken,Lemberg,EST,Priit,Evardi,,,
105,GBLHI,252,23:53:20,0,,veteran,men,POL,Leszek,Herman-Izycki,POL,Gabriel,Bujakiewicz,,,
106,Festina Lente,251,23:42:42,0,,superveteran,mixed,EST,Marje,Viirmann,EST,Sulev,Kuiv,EST,Peep,Eomois
107,Dawdle One and Dawdle Two,250,23:05:34,0,,superveteran,men,AUS,Rod,Gray,AUS,Geoff,Lawford,,,
108,Punkt leitud,250,23:35:32,0,,veteran,men,EST,Raul,Sankovski,EST,Ivar,Lai,,,
109,Uppsala Multisport,248,23:11:48,0,,open,mixed,SWE,Anders,Jansson,SWE,Pernilla,Lagergren,,,
110,ShaleniTaNestrimni,247,23:01:14,0,,open,women,UKR,Ievgeniia,Trygub,UKR,Daria,Tomash,,,
111,Riga Adventure Team / KoBalts,247,23:34:16,0,,open,men,LAT,Jānis,Šneiders,LAT,Andis,Grandāns,LAT,Alberts,Jasāns
112,aegluubid,246,23:29:03,0,,open,mixed,EST,Ragnar,Leimann,EST,Britt,Jaaska,,,
113,Estonian Aviation Academy,245,22:05:17,0,,open,mixed,EST,Rene,Käsik,EST,Viiu,Juurik,EST,Roland,Truus
114,Without haste,244,22:36:52,0,,veteran,men,LAT,Jurijs,Narels,LAT,Pēteris,Krastiņš,,,
115,Līvāni,244,23:34:44,0,,superveteran,mixed,LAT,Varis,Peisenieks,LAT,Gundega,Jurāne,LAT,Jānis,Turks
116,Sappion Veikot,243,21:12:30,0,,open,men,FIN,Petri,Jykylä,FIN,Taneli,Autio,,,
117,7.62,243,23:37:25,0,,open,women,RUS,Daria,Veselkova,RUS,Anna,Moiseeva,,,
118,RAID.lv,242,23:17:53,0,,veteran,men,LAT,Normunds,Laipnieks,LAT,Kristaps,Epners,,,
119,Tallinn Winterswimming Center,242,23:23:06,0,,open,men,EST,Raido,Laidla,EST,Rainer,Jõesaar,,,
120,QLM,241,23:32:14,0,,ultraveteran,men,EST,Arvo,Kivikas,EST,Tõnu,Nurm,EST,Johannes,Tasa
121,IY-TA,241,23:52:18,0,,veteran,women,RUS,Iyliia,Davidova,RUS,Tatiana,Sekhina,,,
122,Otepää Running Tour,235,22:52:37,0,,open,men,EST,Marko,Teder,EST,Margus,Mäll,,,
123,KOBRAS DUO,235,23:14:54,0,,superveteran,women,EST,Reet,Johanson,EST,Saima,Värton,,,
124,Dad will fix it,234,23:21:25,0,,open,men,LAT,Edgars,Peics,LAT,Arvids,Ozolins,,,
125,Loose Tim-Tams,234,23:32:04,0,,veteran,women,AUS,Tamsin,Barnes,GBR,Lucy,Wiegand,,,
126,SerVer,234,23:39:24,0,,veteran,mixed,RUS,Sergey,Tereshin,RUS,Vera,Mizonova,,,
127,SPAMMA,233,23:48:12,0,,open,men,LAT,Raitis,Birznieks,LAT,Kaspars,Vītols,,,
128,Lightpacker.ru,232,22:58:48,0,,open,mixed,RUS,Roman,Vazhnov,RUS,Tatiana,Tsukhlo,,,
129,BEZ STRESA,232,23:46:14,0,,open,men,LAT,Viesturs,Šlosbergs,LAT,Renārs,Skudra,,,
130,Riga Adventure Team win-win-win,231,23:01:06,0,,open,mixed,LAT,Juris,Ritums,LAT,Liva,Medne,LAT,Mārtiņš,Ozoliņš
131,Daivas,230,22:37:05,0,,veteran,women,LAT,Aiva,Skopāne,LAT,Dace,Ikšele,,,
132,Gingerbread House,230,23:33:10,0,,open,men,RUS,Aleksey,Afanasjev,RUS,Igor,Afanasjev,,,
133,Davaičik Zaičiki!,230,23:45:39,0,,open,women,LAT,Zane,Dzirkale,LAT,Līga,Berķe,,,
134,TDK Sānsolītis,230,23:48:35,0,,open,mixed,LAT,Kristaps,Tamužs,LAT,Edgars,Šadris,RUS,Lydia,Konakova
135,The Royals,229,23:52:58,0,,ultraveteran,men,AUS,Andy,Macqueen,AUS,Greg,King,,,
136,French Toast Mafia,227,21:44:43,0,,open,mixed,LAT,Rolands,Rudītis,LAT,Edgars,Kokorevičs,LAT,Inese,Kokoreviča
137,Slapjie pumpuri,227,23:17:19,0,,open,men,LAT,Aigars,Čeksters,LAT,Vilnis,Frišfelds,,,
138,Dream Team 53,227,23:45:12,0,,veteran,men,RUS,Alexey,Eremenko,RUS,Nikolay,Khramov,,,
139,Historici,226,23:28:47,0,,veteran,mixed,CZE,Michal,Klapka,CZE,Milada,Klapkova,,,
140,Chudovo-Peterburg,226,23:43:51,0,,superveteran,men,RUS,Aleksandr,Kopelevich,RUS,Sergey,Cherkesov,,,
141,Bludne balvany,226,23:46:50,0,,superveteran,mixed,CZE,Vladimir,Hora,CZE,Magda,Horova,,,
142,Save the Fluffy Unicorn,224,20:42:25,0,,youth,mixed,LAT,Ieva,Ivbule,LAT,Aivars,Lucijanovs,,,
143,Kyiv-Kherson,224,23:26:52,0,,youth,mixed,UKR,Mykyta,Chernyshev,UKR,Kristina,Redchenko,,,
144,Teply Stan,224,23:39:06,0,,open,mixed,RUS,Sergey,Kolesov,RUS,Roman,Roschin,RUS,Vera,Knotko
145,Peterburg-Sochi,224,23:42:10,0,,superveteran,mixed,RUS,Igor,Komin,RUS,Anna,Boiko,,,
146,Michikusa Biyori,223,23:41:29,0,,open,men,JPN,Makoto,Suzuki,JPN,Taiki,Fukushima,,,
147,AMBER FOX,223,23:45:39,0,,veteran,women,LAT,Ilze,Kremere,LAT,Ieva,Simsone,,,
148,MCO-RM,221,23:41:21,0,,veteran,men,RUS,Vadim,Anisimov,RUS,Boris,Dimitrov,,,
149,Punktotaji,220,23:12:19,0,,veteran,mixed,LAT,Ruta,Poikane,LAT,Aivis,Poikans,,,
150,Izrakteņi,220,23:44:53,0,,open,men,LAT,Edgars,Jurjāns,LAT,Prans,Brazdausks,,,
151,Viimeiset pirkkalaiset,220,23:48:39,0,,veteran,men,FIN,Tapani,Koskinen,FIN,Vesa,Hyvärinen,,,
